Autore;Titolo;;Data
CAGLIERO Giorgio;Meccanica, macchine ed energia;;1
CIABATTI Nello-DI CAPUA Umberto-DI COSTANZO Gennaro;L'arte dell'ospitalità;;2
BAROZZI Graziella-BERGAMINI Massimo;Matematica.in3passi;;3
BAROZZI Graziella-BERGAMINI Massimo;Matematica.in3passi;;4
BAROZZI Graziella-BERGAMINI Massimo;Matematica.in3passi;;5
BAROZZI Graziella-BERGAMINI Massimo;Matematica.in3passi;;6
DELL'ORO Aldo;Art. 343-389;;7
GALGANO Francesco-SBISÀ Giuseppe;ART. 2497-2497 septies;;8
RODATO Silvano;Alimentazione & territorio;;9
BAROZZI Graziella-BERGAMINI Massimo-CANNAS Anna-CERNEAZ Sabrina;Matematica in cucina, in sala, in albergo;;10
BAROZZI Graziella-BERGAMINI Massimo-CANNAS Anna-CERNEAZ Sabrina;Matematica in cucina, in sala, in albergo;;11
BREEDLOVE S. Mark-WATSON Neil V.;Il cervello e la mente;;12
CERA Mario-DI VALENTIN Simona;Gli investimenti finanziari. Imprese e servizi;;13
CONTESSA Gian Marco-MARZO Giuseppe Augusto;Fisica applicata alle scienze mediche;;14
GIUSTI Francesco-SANTOCHI Marco;Tecnologia meccanica;;15
AMALDI Ugo;L'Amaldi.bianco;;16
AMALDI Ugo;L'Amaldi.bianco;;17
COX Michael M-MELLONI Edon-NELSON David L;I principi di biochimica di Lehninger;;18
CUCCIOLI MELLONI Rita;Itinera compone;;19
RONCHETTI Paolo;Lezioni di diritto ed economia;;20
CAPPA Stefano-DENES Gianfranco-GROSSI Dario-GUARIGLIA Cecilia-LUZZATTI Claudio Giuseppe-PIZZAMIGLIO Luigi;Manuale di neuropsicologia;;21
GUARNIERI Carlo-LIEBERMAN Michael-MARKS Allan;Marks biochimica medica;;22
LUPIA PALMIERI Elvidio-PAROTTO Maurizio;Il Globo terrestre e la sua evoluzione;;23
SCHLUTER Dolph-WHITLOCK Michael C.;Analisi statistica dei dati biologici;;24
MATASSI Carla-MENCHETTI Marzia;New Totally Connected;;25
CORBELLINI Giancarlo;Guida all'orientamento;;26
AGATI Patrizia-CALÒ Daniela Giovanna-MONTANARI Angela;Statistica;;27
BAROZZI Graziella-BERGAMINI Massimo-CANNAS Anna-CERNEAZ Sabrina-TRIFONE Anna;Matematica in cucina, in sala, in albergo;;28
CANNAROZZO Renato-CUCCHIARINI Lanfranco-MESCHIERI William;Genio rurale;;29
CALITTI Floriana;Incontri di autori e testi;;30
CALITTI Floriana;Incontri di autori e testi;;31
CALITTI Floriana;Incontri di autori e testi;;32
FORTE Stefano-NAPOLITANO Jim-SAKURAI Jun John;Meccanica quantistica moderna;;33
BRESSANINI Dario;OGM tra leggende e realtà;;34
BAROZZI Graziella-BERGAMINI Massimo;Lineamenti di matematica;;35
BAROZZI Graziella-BERGAMINI Massimo;Lineamenti di matematica;;36
RIGHI BELLOTTI Anna-SELMI Claudia;Economia globale;;37
RIGHI BELLOTTI Anna-SELMI Claudia;Economia globale;;38
FAENZA Francesca-MONTI Paolo;Iuris tantum;;39
PAGANI Carlo Domenico-SALSA Sandro;Matematica;;40
MYERS David G;Psicologia generale;;41
DURANTI Marcello;Introduzione allo studio delle proteine;;42
TAMMET Daniel;La poesia dei numeri;;43
GERMANÒ Alberto-ROMAGNOLI Emilio;Art. 1628-1654;;44
ALCOCK John-RUBENSTEIN Dustin R.;Etologia;;45
BERENBAUM May R.-HELLER H. Craig-HILLIS David M.-SADAVA David;Il carbonio, gli enzimi, il DNA;;46
BERENBAUM May R.-HELLER H. Craig-HILLIS David M.-SADAVA David;Il carbonio, gli enzimi, il DNA;;47
PASQUETTO Sergio-PATRONE Luigi;Fondamenti di chimica fisica;;48
BAROZZI Graziella-BERGAMINI Massimo-TRIFONE Anna;Matematica.blu 2.0;;49
BAROZZI Graziella-BERGAMINI Massimo-TRIFONE Anna;Matematica.blu 2.0;;50
BARBUJANI Guido-RELETHFORD John H.;Genetica delle popolazioni umane;;51
CECCHELLA Claudio;Diritto e processo nelle controversie familiari e minorili;;52
CREMASCHI Andrea-GIOMI Francesco;Rumore bianco;;53
MANDOLINI Stefania;Le parole della fisica.azzurro;;54
MANDOLINI Stefania;Le parole della fisica.azzurro;;55
GHERARDELLI Paola;Hands-on Electronics and Electrotechnology;;56
KOLONIA Amalìa-PERI Massimo;Greco antico neogreco e italiano;;57
;Art. 43-78;;58
MAKNOUZ Dany;La lezione segmentata;;59
RONCHETTI Paolo;Diritto e legislazione turistica;;60
BESTLEY Russell-NOBLE Ian;Comunicare con le immagini;;61
CIRILLO Loredana-LANCINI Matteo-VIRDIS Giuseppe;Le regole della mente;;62
TESI Riccardo;Storia dell'italiano;;63
TESI Riccardo;Storia dell'italiano;;64
GENTILE Antonino-TIFI Alfredo-VALITUTTI Giuseppe;La chimica per tutti;;65
BRANCA Giuseppe;Art. 1027-1099;;66
;Advanced Learner's English Dictionary;;67
BAROZZI Giulio Cesare-DORE Giovanni-OBRECHT Enrico;Elementi di Analisi matematica;;68
BAROZZI Giulio Cesare-DORE Giovanni-OBRECHT Enrico;Elementi di Analisi matematica;;69
ARPINATI Anna Maria-MUSIANI Mariarosa;Matematica in azione;;70
ARPINATI Anna Maria-MUSIANI Mariarosa;Matematica in azione;;71
ARPINATI Anna Maria-MUSIANI Mariarosa;Matematica in azione;;72
ARPINATI Anna Maria-MUSIANI Mariarosa;Matematica in azione;;73
ARPINATI Anna Maria-MUSIANI Mariarosa;Matematica in azione;;74
ARPINATI Anna Maria-MUSIANI Mariarosa;Matematica in azione;;75
ARPINATI Anna Maria-MUSIANI Mariarosa;Matematica in azione;;76
ARPINATI Anna Maria-MUSIANI Mariarosa;Matematica in azione;;77
ARPINATI Anna Maria-MUSIANI Mariarosa;Matematica in azione;;78
CARRADA Luisa;Scrivere un'email;;79
GIACOMA Luisa-KOLB Susanne;il Tedesco smart;;80
GIACOMA Luisa-KOLB Susanne;il Tedesco smart;;81
AMBROSE Susan A.-BRIDGES Michael W.-DI PIETRO Michele-LOVETT Marsha C.-MAKNOUZ Dany-NORMAN Marie K.;Come impariamo;;82
ISONNI Damiana;Una donna in prima linea contro l'AIDS;;83
D'ASCANIO Maria-FASOLI Antonella;Atención sociosanitaria;;84
REDIGOLO Domenico-WILKINSON Judith M.;Processo infermieristico e pensiero critico;;85
COHEN Janice S.-KATHOL Roger G.-PEREZ Rebecca;Manuale di Case Management;;86
CRESCITELLI Maria Alessandra-DE MAIO Pascale;Métier et Saveurs;;87
CRESCITELLI Maria Alessandra-DE MAIO Pascale;Métier et Saveurs;;88
FINI Andrea-NANNI Cristina;Gnatologia;;89
FINI Andrea-NANNI Cristina;Gnatologia;;90
PAVAN Pietro-SARTORI Paolo;Problemi di fisica 2 risolti e commentati;;91
FERRAZZOLI Marco-MAGA Giovanni;Pandemia e infodemia;;92
CIUCCI Donatella-TONCELLI Fabrizia;Stechiometria;;93
FOSSEN Haakon;Geologia strutturale;;94
RESNICK Robert-UGUZZONI Arnaldo;Introduzione alla relatività ristretta;;95
;Biblioteca Italiana Zanichelli;;96
GUIDORZI Cristiano-ZANZI Andrea;Problemi di Fisica generale 1;;97
ARAGONA Raffaele;Oplepiana;;98
IARRERA Francesco-PILOTTI Giorgio;Atlante del mondo d'oggi;;99
CINTI Danilo-CUTNELL John D-JOHNSON Kenneth W-STADLER Shane-YOUNG David;La fisica di Cutnell e Johnson.azzurro;;100
CINTI Danilo-CUTNELL John D-JOHNSON Kenneth W-STADLER Shane-YOUNG David;La fisica di Cutnell e Johnson.azzurro;;101
BERTOLOTTI Angelo;I controlli nella s.p.a.;;102
CAMEROTA Filippo;Itinerario nel disegno;;103
CAMEROTA Filippo;Itinerario nel disegno;;104
STANCARI Chiara;Pronti per l'INVALSI;;105
CHINNERY Patrick-GOODSHIP Judit-STRACHAN Tom;Genetica & Genomica nelle scienze mediche;;106
FILIPPINI Chiara-MANZONI Gian Enrico-SGARZI Daniela;Verba nostra;;107
FILIPPINI Chiara-MANZONI Gian Enrico-SGARZI Daniela;Verba nostra;;108
ARMELLINI Guido-BOSI Luigi-COLOMBO Adriano-MARCHESINI Matteo;Con altri occhi;;109
ARMELLINI Guido-BOSI Luigi-COLOMBO Adriano-MARCHESINI Matteo;Con altri occhi;;110
ARMELLINI Guido-BOSI Luigi-COLOMBO Adriano-MARCHESINI Matteo;Con altri occhi;;111
ARMELLINI Guido-BOSI Luigi-COLOMBO Adriano-MARCHESINI Matteo;Con altri occhi;;112
ARMELLINI Guido-BOSI Luigi-COLOMBO Adriano-MARCHESINI Matteo;Con altri occhi;;113
ARMELLINI Guido-BOSI Luigi-COLOMBO Adriano-MARCHESINI Matteo;Con altri occhi;;114
ARMELLINI Guido-BOSI Luigi-COLOMBO Adriano-MARCHESINI Matteo;Con altri occhi;;115
ARMELLINI Guido-BOSI Luigi-COLOMBO Adriano-MARCHESINI Matteo;Con altri occhi;;116
MENAGGIA Giorgio-RONCALLI Wilma;Le filiere agroalimentari;;117
;Riti speciali di cognizione;;118
CALLEGARI Mia-CAVALLI Gino;Lezioni sui contratti bancari;;119
ADVOKAT Claire D.-COMATY Joseph E.-JULIEN Robert M;Droghe e farmaci psicoattivi;;120
CALVO Roberto;ART. 1100 - 1116;;121
BAGARELLO Fabio;Metodi matematici per fisici e ingegneri;;122
GAMOW George;Trent'anni che sconvolsero la fisica;;123
GHIDELLI Roberta-RIPAMONTI Susanna-TARTUFERI Tatiana;Società che cambiano edizione rossa;;124
GINEPRINI Mario-PANEBIANCO Beatrice-SEMINARA Simona;Vivere la letteratura;;125
GINEPRINI Mario-PANEBIANCO Beatrice-SEMINARA Simona;Vivere la letteratura;;126
GINEPRINI Mario-PANEBIANCO Beatrice-SEMINARA Simona;Vivere la letteratura;;127
GINEPRINI Mario-PANEBIANCO Beatrice-SEMINARA Simona;Vivere la letteratura;;128
GINEPRINI Mario-PANEBIANCO Beatrice-SEMINARA Simona;Vivere la letteratura;;129
GINEPRINI Mario-PANEBIANCO Beatrice-SEMINARA Simona;Vivere la letteratura;;130
GINEPRINI Mario-PANEBIANCO Beatrice-SEMINARA Simona;Vivere la letteratura;;131
MOLINARI Maria Vittoria;Filologia germanica;;132
CORI Elisabetta-LICHERI Barbara;Exploring Human Science;;133
CANNELLA Mario-LAZZARINI Beata-ZANINELLO Andrea-ZINGARELLI Nicola;lo Zingarelli 2022;;134
CANNELLA Mario-LAZZARINI Beata-ZANINELLO Andrea-ZINGARELLI Nicola;lo Zingarelli 2022;;135
CANNELLA Mario-LAZZARINI Beata-ZANINELLO Andrea-ZINGARELLI Nicola;lo Zingarelli 2022;;136
PILATI Luciano;Economia e management per ingegneri;;137
MANOTTI LANFREDI Anna Maria-TIRIPICCHIO Antonio;Fondamenti di chimica;;138
BONSIGNORI Angelo;Art. 160-186;;139
IANNUCCI Alessandro-LONGO Fatima;Unitutor Medicina - 19 prove risolte;;140
DELLA PIETRA Giuseppe;Il processo civile spiegato ai ragazzi;;141
COLLI Giovanna;Punto com;;142
VEZZOLI Carlo;Design per la sostenibilità ambientale;;143
;Come spiegare il mondo;;144
CATALANO Ferdinando;Ottica applicata e strumenti;;145
PIZZORUSSO Alessandro;Art.1-9;;146
DOOLEY Jenny;Take Action!;;147
DOOLEY Jenny;Take Action!;;148
DOOLEY Jenny;Take Action!;;149
RICCI LUCCHI Marianna;Agenda per il pianeta Terra;;150
RICCI LUCCHI Marianna;Agenda per il pianeta Terra;;151
GAMOW George-STANNARD Russell;Il nuovo mondo di Mr.Tompkins;;152
EDIGEO ;Turco compatto;;153
TIBONE Federico;La Patente del computer. Nuova ECDL;;154
BORGIOLI Luca-EVANS Christian-KELLY CALZINI Manuela-LEONARD Carla natalie;Switch On;;155
BORGIOLI Luca-EVANS Christian-KELLY CALZINI Manuela-LEONARD Carla natalie;Switch On;;156
BORGIOLI Luca-EVANS Christian-KELLY CALZINI Manuela-LEONARD Carla natalie;Switch On;;157
BORGIOLI Luca-EVANS Christian-KELLY CALZINI Manuela-LEONARD Carla natalie;Switch On;;158
BORGIOLI Luca-EVANS Christian-KELLY CALZINI Manuela-LEONARD Carla natalie;Switch On;;159
BORGIOLI Luca-EVANS Christian-KELLY CALZINI Manuela-LEONARD Carla natalie;Switch On;;160
OLIVA Marilù-PICCININI Elisa;Antologia dei Promessi sposi;;161
COTTINO Gastone;Le società di persone;;162
FILIPPINI Antonio-KERR Jeffrey B.;Istologia funzionale;;163
NITTI Luigi-TOMMASI Raffaele;Fisica;;164
;Diccionario General de la Lengua Española;;165
BAROZZI Graziella-BERGAMINI Massimo-TRIFONE Anna;Matematica.rosso;;166
RONCHETTI Paolo;Diritto ed economia politica;;167
RONCHETTI Paolo;Diritto ed economia politica;;168
RONCHETTI Paolo;Diritto ed economia politica;;169
TURRI Stefano;Vernici;;170
IMERI Luca-MANCIA Mauro;Testo atlante di fisiologia umana;;171
DESPOPOULOS Agamemnon-RIVA SANSEVERINO Eugenio-SILBERNAGL Stefan;Fisiologia;;172
FANTINI Fabio-MONESI Simona-PIAZZINI Stefano;Minerali, rocce, vulcani e terremoti;;173
HACKER Sally-HELLER H. Craig-HILLIS David M.-SADAVA David;Principi di biologia;;174
FABIANI Massimo;Diritto fallimentare;;175
ANASTASI Giuseppe-RAPETTI MOGOL (CHEOPE) Alfredo;Scrivere una canzone;;176
CIAFFARONI Maria Teresa;Mind your business;;177
CIAFFARONI Maria Teresa;Mind your business;;178
NOSILIA Viviana;il Mini di Polacco;;179
DAL PRA Elena-FEROLDI Donata;Dizionario Analogico della Lingua Italiana;;180
HARTL Daniel L.-KNOLL Andrew H.-LUE Robert A-MICHAEL Melissa-MORRIS James R.;Biologia. Come funziona la vita;;181
MANDOLINI Stefania;Le parole della fisica;;182
MANDOLINI Stefania;Le parole della fisica;;183
PAIARDINI Alessandro-PASCARELLA Stefano;Bioinformatica;;184
RICCI LUCCHI Marianna-RICCI LUCCHI Franco-TOSETTO Silvio;La Terra, il pianeta vivente;;185
TERRANOVA Giuseppe;Art. 64-71;;186
;Kompaktwörterbuch Deutsch als Fremdsprache;;187
BAROZZI Graziella-BERGAMINI Massimo-TRIFONE Anna;Manuale blu 2.0 di matematica;;188
BAROZZI Graziella-BERGAMINI Massimo-TRIFONE Anna;Manuale blu 2.0 di matematica;;189
BAROZZI Graziella-BERGAMINI Massimo-TRIFONE Anna;Manuale blu 2.0 di matematica;;190
BAROZZI Graziella-BERGAMINI Massimo-TRIFONE Anna;Manuale blu 2.0 di matematica;;191
LAYTON Margaret-SPIAZZI Marina-TAVELLA Marina;Performer B2;;192
AMBROSINI Stefano-PACCHI Stefania;Crisi d'impresa ed emergenza sanitaria;;193
KOEPPEN Bruce M.-STANTON Bruce A.;Berne & Levy Fisiologia;;194
CALVO Roberto;Diritto civile;;195
CALVO Roberto;Diritto civile;;196
CALVO Roberto;Diritto civile;;197
NERINI Serena-VALITUTTI Giuseppe;Le scienze in cucina;;198
NERINI Serena-VALITUTTI Giuseppe;Le scienze in cucina;;199
DÁVILA PEÑA Celina-DÍEZ HUERTAS Celia-FUMADÓ ABAD Maria Dels Ângels-LIBERAL TRINIDAD Antonia;¡Consigue el DELE!;;200
;Tavola periodica degli elementi;;201
GIAMPIERI Patrizia;Business English;;202
TORTORA Riccardo;Igiene, anatomia e fisiopatologia del corpo umano;;203
ADAMS Robert-QUARTAPELLE Luigi;Calcolo differenziale 2;;204
MIRRI Luigi-PARENTE Michele;Fisica ambientale;;205
MIRRI Luigi-PARENTE Michele;Fisica ambientale;;206
ADAMS Ansel;La fotografia di Ansel Adams;;207
PÉREZ NAVARRO José-POLETTINI Carla;En juego;;208
PÉREZ NAVARRO José-POLETTINI Carla;En juego;;209
PÉREZ NAVARRO José-POLETTINI Carla;En juego;;210
PÉREZ NAVARRO José-POLETTINI Carla;En juego;;211
PÉREZ NAVARRO José-POLETTINI Carla;En juego;;212
BARNES N Sue-CURTIS Helena-GANDOLA Laura-LANCELLOTTI Lorenzo-MASSARINI Alicia-ODONE Roberto-SCHNEK Adriana;Percorsi di scienze naturali;;213
BARNES N Sue-CURTIS Helena-GANDOLA Laura-LANCELLOTTI Lorenzo-MASSARINI Alicia-ODONE Roberto-SCHNEK Adriana;Percorsi di scienze naturali;;214
PÉREZ NAVARRO José-POLETTINI Carla;Todos a la meta;;215
PÉREZ NAVARRO José-POLETTINI Carla;Todos a la meta;;216
PÉREZ NAVARRO José-POLETTINI Carla;Todos a la meta;;217
PÉREZ NAVARRO José-POLETTINI Carla;Todos a la meta;;218
PÉREZ NAVARRO José-POLETTINI Carla;Todos a la meta;;219
PÉREZ NAVARRO José-POLETTINI Carla;Todos a la meta;;220
PÉREZ NAVARRO José-POLETTINI Carla;Todos a la meta;;221
PÉREZ NAVARRO José-POLETTINI Carla;Todos a la meta;;222
PÉREZ NAVARRO José-POLETTINI Carla;Todos a la meta;;223
PÉREZ NAVARRO José-POLETTINI Carla;Todos a la meta;;224
BARBERO Alessandro-FRUGONI Chiara-LUZZATTO Sergio-SCLARANDIS Carla;La storia;;225
BERTONI Carlo-CUTNELL John D-JOHNSON Kenneth W-STADLER Shane-TARGA Elisa-YOUNG David;La fisica di Cutnell e Johnson;;226
BERTONI Carlo-CUTNELL John D-JOHNSON Kenneth W-STADLER Shane-TARGA Elisa-YOUNG David;La fisica di Cutnell e Johnson;;227
BERTONI Carlo-CUTNELL John D-JOHNSON Kenneth W-STADLER Shane-TARGA Elisa-YOUNG David;La fisica di Cutnell e Johnson;;228
DE ROSA Tommaso-RISTORATORE Annalisa;Prodotti dolciari artigianali e industriali;;229
DE ROSA Tommaso-RISTORATORE Annalisa;Prodotti dolciari artigianali e industriali;;230
PEPE Laura;Atene a processo;;231
SOFRI Gianni;Del fare libri;;232
COTTINO Gastone;Lineamenti di diritto commerciale;;233
FABIETTI Ugo-REMOTTI Francesco;Dizionario di antropologia;;234
GALASSO Alfredo-PALMERI Giuseppa;Istituzioni del diritto privato;;235
BIANCO Vincenza-GENTILE Anna;Basic English for Opticians;;236
GASPARETTO Mariangela;Art.CLIL;;237
AMENDOLA Antonella-MESSINA Ada-PARIANI Elena-ZAPPA Alessandra-ZIPOLI Gabriella;Igiene e patologia;;238
;Start up e P.M.I. innovative + risorse digitali;;239
FIANDACA Giovanni-MUSCO Enzo;Diritto penale. Parte speciale;;240
BERTOCCHI Miriam;Ganz genau!;;241
BERTOCCHI Miriam;Ganz genau!;;242
BALUGANI Elisabetta-CARNEVALI Giordano-MARRA Laura;Elementi di igiene e patologia;;243
BARBONE Sandro-INFORTUNA Teresa;Il corpo umano;;244
BARBONE Sandro-INFORTUNA Teresa;Il corpo umano;;245
BARBONE Sandro-INFORTUNA Teresa;Il corpo umano;;246
BARBONE Sandro-INFORTUNA Teresa;Il corpo umano;;247
BERK A-BRETSCHER A.-KAISER C.A.-KRIEGER M.-LODISH Harvey-MATSUDAIRA Paul-PLOEGH P.-SCOTT M.P.;Biologia molecolare della cellula;;248
BALDUZZI Renato-CAIA Giuseppe-CARIOLA Agatino-CARROZZA Paolo-CLARICH Marcello-COLOMBINI Giovanna-COSTANZO Pasquale-MANNELLI Lorenzo-MARIANI Michele-MESSERINI Virginia-PISANESCHI Andrea-PIZZORUSSO Alessandro-ROMBOLI Roberto-ROSSI Emanuele-SANTARELLI Umberto-SCARCIGLIA Roberto-TARCHI Rolando;ART. 128 Supplemento. Leggi 8 giugno 1990, n. 142 e 25 marzo 1993, n. 81;;249
LUNARI Marco-MACCIO Maria Rosa;Luoghi e civiltà;;250
LUNARI Marco-MACCIO Maria Rosa;Luoghi e civiltà;;251
LUNARI Marco-MACCIO Maria Rosa;Luoghi e civiltà;;252
LUNARI Marco-MACCIO Maria Rosa;Luoghi e civiltà;;253
BONSIGNORI Angelo-GALGANO Francesco;Art. 146-159;;254
GAFFEO Edoardo-MITTONE Luigi-TAMBORINI Roberto;Introduzione all'economia;;255
BUZZINI Pietro-CLEMENTI Francesca-VAUGHAN Ann Elizabeth;Laboratorio didattico di microbiologia;;256
CLEGG Lois-REGAZZI Joanna;Graphics & design today;;257
AMALDI Francesco-BENEDETTI Piero-PESOLE Graziano-PLEVANI Paolo;Biologia Molecolare;;258
;I nuovi appalti pubblici;;259
DOMANICO Maria Pia-PRINCIPATO Rosalba-TIESI Maria Francesca-TING Yen-ling-VILLELLA Assunta Preziosa Marisa;Maths.CLIL;;260
BAGATTI Franco-CORRADI Elis-DESCO Alessandro-ROPA Claudia;Elementi di fisica;;261
BEST Kathryn-ZURLO Francesco;Design Management;;262
FERRUA Paolo;Il giusto processo;;263
CATALANO Duilio Biagio Giacomo-MARZOCCHI Stefano-PICINALI Battista-VECA Salvatore;Il pensiero e la meraviglia;;264
CATALANO Duilio Biagio Giacomo-MARZOCCHI Stefano-PICINALI Battista-VECA Salvatore;Il pensiero e la meraviglia;;265
CATALANO Duilio Biagio Giacomo-MARZOCCHI Stefano-PICINALI Battista-VECA Salvatore;Il pensiero e la meraviglia;;266
CATALANO Duilio Biagio Giacomo-MARZOCCHI Stefano-PICINALI Battista-VECA Salvatore;Il pensiero e la meraviglia;;267
CATALANO Duilio Biagio Giacomo-MARZOCCHI Stefano-PICINALI Battista-VECA Salvatore;Il pensiero e la meraviglia;;268
CATALANO Duilio Biagio Giacomo-MARZOCCHI Stefano-PICINALI Battista-VECA Salvatore;Il pensiero e la meraviglia;;269
BAIRD Colin-CANN Michael-LANCIOTTI Eudes-STEFANI Massimo;Chimica ambientale;;270
PUCELLA Gianluca-SEGRE Sergio E.;Fisica dei plasmi;;271
NASTI Maria-REGA Vincenzo;Panorami di scienze umane;;272
NASTI Maria-REGA Vincenzo;Panorami di scienze umane;;273
RICCIO Angelo;Art. 1467-1469;;274
AMALDI Ugo-TIBONE Federico;Sempre più veloci;;275
INVIDIA Sandro-MANZONI Alessandro;I Promessi Sposi;;276
ACAMPORA Teresa-CESARANO Maria-ESPOSITO Maria;Strumenti gestionali per il turismo;;277
ACAMPORA Teresa-CESARANO Maria-ESPOSITO Maria;Strumenti gestionali per il turismo;;278
BERTOLISSI Mario-CARROZZA Paolo-COSTANZO Pasquale-LOTITO Francesco-PANIZZA Saulle-PINNA Pietro-PIZZORUSSO Alessandro-ROMBOLI Roberto-ROSELLI Orlando-SILVESTRI Gaetano-TARCHI Rolando;Disposizioni transitorie e finali I - XVIII Leggi Costituzionali e di revisione costituzionale (1948-1993);;279
KOOLMAN Jan-ROEHM Klaus-heinrich;Testo atlante di biochimica;;280
PHILLIPS Roger-RIX Martyn;Le rose;;281
ALESSANDRI Alberto-CLARICH Marcello-DOMINIONI Oreste-FIANDACA Giovanni-MERUSI Fabio;Art. 27-28;;282
MIRANDOLA Stefano;Corso di elettrotecnica ed elettronica;;283
MIRANDOLA Stefano;Corso di elettrotecnica ed elettronica;;284
MIRANDOLA Stefano;Corso di elettrotecnica ed elettronica;;285
GALLI Gianni;Art. 1607-1614;;286
FOCARDI Sergio-MASSA Ignazio Giacomo-UGUZZONI Arnaldo;Fisica generale Meccanica;;287
SIRONI Cecilia-WATSON Jean;Assistenza infermieristica: filosofia e scienza del caring;;288
D'ASCANIO Maria-FASOLI Antonella-UTRERA PÉREZ Maria Trinidad;Turismo y mas;;289
CASALI Claudia-CITTI Vittorio-GUBELLINI Maura-PENNESI Antonella;Storia e autori della letteratura greca;;290
CASALI Claudia-CITTI Vittorio-GUBELLINI Maura-PENNESI Antonella;Storia e autori della letteratura greca;;291
GALIAZZO Anna-LOVAGLIO Raffaella-MENCACCI Elisa;Dalla malattia al lutto;;292
IARRERA Francesco-PILOTTI Giorgio;Geografia Territori e problemi;;293
IARRERA Francesco-PILOTTI Giorgio;Geografia Territori e problemi;;294
IARRERA Francesco-PILOTTI Giorgio;Geografia Territori e problemi;;295
BUCHAN TOMARCHIO Natalie-GALLI Luigi-LAUZI Georgia;Smile!;;296
BELLOMARÌ Donatella-VALGIUSTI Loretta;Caring for People;;297
RUTHVEN Alasdair K. B.-VANOLI Massimo;Guida pratica all'esame obiettivo;;298
FONTANA Marzia-FORTE Laura-TALICE Maria Teresa;L'ottima compagnia;;299
FONTANA Marzia-FORTE Laura-TALICE Maria Teresa;L'ottima compagnia;;300
FONTANA Marzia-FORTE Laura-TALICE Maria Teresa;L'ottima compagnia;;301
FONTANA Marzia-FORTE Laura-TALICE Maria Teresa;L'ottima compagnia;;302
FONTANA Marzia-FORTE Laura-TALICE Maria Teresa;L'ottima compagnia;;303
FONTANA Marzia-FORTE Laura-TALICE Maria Teresa;L'ottima compagnia;;304
FONTANA Marzia-FORTE Laura-TALICE Maria Teresa;L'ottima compagnia;;305
FONTANA Marzia-FORTE Laura-TALICE Maria Teresa;L'ottima compagnia;;306
FONTANA Marzia-FORTE Laura-TALICE Maria Teresa;L'ottima compagnia;;307
FONTANA Marzia-FORTE Laura-TALICE Maria Teresa;L'ottima compagnia;;308
FONTANA Marzia-FORTE Laura-TALICE Maria Teresa;L'ottima compagnia;;309
FONTANA Marzia-FORTE Laura-TALICE Maria Teresa;L'ottima compagnia;;310
GIOVANELLI Gabriella-GUIDETTI Riccardo-HELDMAN Dennis R.-LUCISANO Mara-SINGH R. Paul-ZANONI Bruno;Principi di tecnologia alimentare;;311
FERREIRA Anabela;Il mini di Portoghese;;312
LAYTON Margaret-SPIAZZI Marina-TAVELLA Marina;Performer Shaping Ideas;;313
LAYTON Margaret-SPIAZZI Marina-TAVELLA Marina;Performer Shaping Ideas;;314
LAYTON Margaret-SPIAZZI Marina-TAVELLA Marina;Performer Shaping Ideas;;315
LAYTON Margaret-SPIAZZI Marina-TAVELLA Marina;Performer Shaping Ideas;;316
LAYTON Margaret-SPIAZZI Marina-TAVELLA Marina;Performer Shaping Ideas;;317
LAYTON Margaret-SPIAZZI Marina-TAVELLA Marina;Performer Shaping Ideas;;318
LAYTON Margaret-SPIAZZI Marina-TAVELLA Marina;Performer Shaping Ideas;;319
LAYTON Margaret-SPIAZZI Marina-TAVELLA Marina;Performer Shaping Ideas;;320
PASCUZZI Giovanni;La creatività del giurista;;321
FLAMMINI Patrizia-PASQUALINI Tania;Noi;;322
MENCUCCINI Corrado-SILVESTRINI Vittorio;Fisica - Elettromagnetismo e ottica;;323
RAZZOLI Mariacristina;Diritto ed Economia;;324
RAZZOLI Mariacristina;Diritto ed Economia;;325
RAZZOLI Mariacristina;Diritto ed Economia;;326
RAZZOLI Mariacristina;Diritto ed Economia;;327
BONA Carlo-PASCUZZI Giovanni;I rapporti di vicinato;;328
ENRIQUES Federigo;La teoria della conoscenza scientifica da Kant ai nostri giorni;;329
AMALDI Ugo-BONZAGNI Maria;La fisica in cucina;;330
AMALDI Ugo-BONZAGNI Maria;La fisica in cucina;;331
TARABBIA Andrea;Parlare per immagini;;332
BARTHÉS Amandine-BUTZBACH Michèle-GRÉCO Julie-LANZA Giacinta-MARTÍN NOLLA Carmen-PASTOR Dolorès-danièle-SARACÍBAR ZALDÍVAR Immaculada;Bienvenue à bord!;;333
BARTHÉS Amandine-BUTZBACH Michèle-GRÉCO Julie-LANZA Giacinta-MARTÍN NOLLA Carmen-PASTOR Dolorès-danièle-SARACÍBAR ZALDÍVAR Immaculada;Bienvenue à bord!;;334
BARTHÉS Amandine-BUTZBACH Michèle-GRÉCO Julie-LANZA Giacinta-MARTÍN NOLLA Carmen-PASTOR Dolorès-danièle-SARACÍBAR ZALDÍVAR Immaculada;Bienvenue à bord!;;335
BARTHÉS Amandine-BUTZBACH Michèle-GRÉCO Julie-LANZA Giacinta-MARTÍN NOLLA Carmen-PASTOR Dolorès-danièle-SARACÍBAR ZALDÍVAR Immaculada;Bienvenue à bord!;;336
